Strain,Category2,Organism-Roary,BapsOne,BapsTwo,Bazinet-Species,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,Cereulide,bceT,Cytk1,Combined
c-NBCE0369,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0370,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0371,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0372,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0373,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0374,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0375,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0386,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0387,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0388,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0389,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0390,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0391,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0392,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0393,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0394,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0395,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0396,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0397,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0398,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0399,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0400,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0401,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0402,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0403,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0404,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0405,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0406,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0407,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0408,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0409,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0410,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0411,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0412,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0413,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0414,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0415,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0416,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0417,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0418,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0419,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0420,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0421,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0422,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0423,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0424,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0425,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0426,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0427,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0428,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0429,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0430,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0431,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0432,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0433,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0434,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0435,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0456,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0457,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0458,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0459,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0460,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0461,Colonization,Enterococcus-faecalis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0462,Colonization,Enterococcus-faecalis,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0463,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0464,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0465,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0476,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0477,Colonization,Enterococcus-faecalis,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0478,Colonization,Enterococcus-faecalis,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0479,Colonization,Enterococcus-faecalis,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0480,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0484,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0485,Colonization,Enterococcus-faecalis,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0486,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0487,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0488,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0489,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0490,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0491,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0492,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0493,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0494,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0495,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0496,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0497,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0498,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0499,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0500,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0501,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0502,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0503,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0537,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0538,Colonization,Enterococcus-faecium,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0539,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0540,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0541,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0611,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0613,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0614,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0634,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0120,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0121,EnvironmentalLab,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0122,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0123,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0124,EnvironmentalLab,Bacillus cereus,7,28,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0125,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0126,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0127,EnvironmentalLab,Bacillus cereus,5,21,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0128,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0129,EnvironmentalLab,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0142,EnvironmentalLab,Bacillus. simplex,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0183,EnvironmentalLab,Bacillus cereus,7,31,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,,,bceT,Cytk1,Combined
c-NBCE0483,EnvironmentalLab,Bacillus. thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0566,EnvironmentalLab,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0030,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0031,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0032,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0033,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0034,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0035,EnvironmentalMilkBank,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0036,EnvironmentalMilkBank,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0037,EnvironmentalMilkBank,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0038,EnvironmentalMilkBank,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0039,EnvironmentalMilkBank,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0040,EnvironmentalMilkBank,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0041,EnvironmentalMilkBank,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0042,EnvironmentalMilkBank,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0043,EnvironmentalMilkBank,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0044,EnvironmentalMilkBank,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0045,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0046,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0047,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0048,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0049,EnvironmentalMilkBank,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0015,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0016,EnvironmentalNICU,Bacillus cereus,4,18,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0017,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0018,EnvironmentalNICU,Bacillus cereus,4,18,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0019,EnvironmentalNICU,Bacillus cereus,4,17,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0020,EnvironmentalNICU,Bacillus cereus,4,19,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0021,EnvironmentalNICU,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0022,EnvironmentalNICU,Bacillus cereus,4,19,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0023,EnvironmentalNICU,Bacillus cereus,4,19,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0024,EnvironmentalNICU,Bacillus cereus,4,19,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0025,EnvironmentalNICU,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0026,EnvironmentalNICU,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0027,EnvironmentalNICU,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0028,EnvironmentalNICU,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0029,EnvironmentalNICU,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0055,EnvironmentalNICU,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0056,EnvironmentalNICU,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0057,EnvironmentalNICU,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0058,EnvironmentalNICU,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0059,EnvironmentalNICU,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0060,EnvironmentalNICU,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0061,EnvironmentalNICU,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0062,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0063,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0064,EnvironmentalNICU,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0065,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0066,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0067,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0068,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,,Combined
c-NBCE0069,EnvironmentalNICU,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
